store_name,Coords,category,brand,price,card_number,quantity,receipt_number,total
О'КЕЙ,"[59.84518, 30.323207] и 2024-11-19T22:03:00+03:00",Пиво,Жигулёвское,194.10458595849917,2201301807226449,4,396187,540.2797396192201
О'КЕЙ,"[59.84518, 30.323207] и 2024-11-19T22:03:00+03:00",Молочные продукты,Экомилк,72.68472588355331,2201301807226449,4,396187,540.2797396192201
О'КЕЙ,"[59.84518, 30.323207] и 2024-11-19T22:03:00+03:00",Пиво,Tinkoff,143.36178649513243,2201301807226449,4,396187,540.2797396192201
О'КЕЙ,"[59.84518, 30.323207] и 2024-11-19T22:03:00+03:00",Молочные продукты,Вологодское,130.1286412820352,2201301807226449,4,396187,540.2797396192201
DNS,"[59.925155, 30.32018] и 2025-06-13T22:26:00+03:00",Климатическая техника,Timberk,18136.03853885426,5189013672541708,2,144254,66565.97797119869
DNS,"[59.925155, 30.32018] и 2025-06-13T22:26:00+03:00",Бытовая техника,Bosch,48429.93943234443,5189013672541708,2,144254,66565.97797119869
Sela,"[59.912486, 30.319758] и 2025-10-18T08:56:00+03:00",Детская одежда,Gloria Jeans,2100.0772054328427,2201305304437185,3,299999,4584.573541346235
Sela,"[59.912486, 30.319758] и 2025-10-18T08:56:00+03:00",Детская одежда,Sela Kids,1104.305196734144,2201305304437185,3,299999,4584.573541346235
Sela,"[59.912486, 30.319758] и 2025-10-18T08:56:00+03:00",Детская одежда,Sela Kids,1380.191139179249,2201305304437185,3,299999,4584.573541346235
Зенден,"[59.926422, 30.320988] и 2026-03-16T08:31:00+03:00",Обувь,Respect,4344.675120697905,2203676747805057,2,918946,9435.050287989518
Зенден,"[59.926422, 30.320988] и 2026-03-16T08:31:00+03:00",Обувь,Salamander,5090.375167291611,2203676747805057,2,918946,9435.050287989518
Спортмастер,"[59.924145, 30.318051] и 2026-05-18T08:38:00+03:00",Велосипеды,Giant,41392.570497401946,5189013672541708,3,850428,49475.9341577777
Спортмастер,"[59.924145, 30.318051] и 2026-05-18T08:38:00+03:00",Спортивная одежда,Fila,4882.506987822664,5189013672541708,3,850428,49475.9341577777
Спортмастер,"[59.924145, 30.318051] и 2026-05-18T08:38:00+03:00",Спортивные товары,Decathlon,3200.856672553093,5189013672541708,3,850428,49475.9341577777
Fix Price,"[59.93584, 30.315886] и 2026-02-28T09:27:00+03:00",Канцтовары,Faber-Castell,383.3593467398892,5469015666360954,2,343886,718.4235781746947
Fix Price,"[59.93584, 30.315886] и 2026-02-28T09:27:00+03:00",Бытовая химия,Domestos,335.06423143480555,5469015666360954,2,343886,718.4235781746947
Перекрёсток,"[59.829929, 30.377852] и 2024-12-06T12:55:00+03:00",Алкоголь,Кристалл,882.8206228487941,5293895116491802,2,940782,1053.712809812254
Перекрёсток,"[59.829929, 30.377852] и 2024-12-06T12:55:00+03:00",Пиво,Жигулёвское,170.8921869634598,5293895116491802,2,940782,1053.712809812254
Глория Джинс,"[59.962341, 30.30693] и 2026-08-21T23:11:00+03:00",Одежда мужская,Sela,3677.5843081309786,2203676747805057,5,297715,12640.579336098124
Глория Джинс,"[59.962341, 30.30693] и 2026-08-21T23:11:00+03:00",Одежда женская,Sela,1690.4187183491279,2203676747805057,5,297715,12640.579336098124
Глория Джинс,"[59.962341, 30.30693] и 2026-08-21T23:11:00+03:00",Одежда мужская,Finn Flare,4382.711960002235,2203676747805057,5,297715,12640.579336098124
Глория Джинс,"[59.962341, 30.30693] и 2026-08-21T23:11:00+03:00",Детская одежда,Gloria Jeans,1735.1538033712743,2203676747805057,5,297715,12640.579336098124
Глория Джинс,"[59.962341, 30.30693] и 2026-08-21T23:11:00+03:00",Детская одежда,Finn Flare Kids,1154.7105462445086,2203676747805057,5,297715,12640.579336098124
Лэтуаль,"[59.912486, 30.319758] и 2024-11-18T03:40:00+03:00",Парфюмерия,Paco Rabanne,8021.6526292028375,5293895116491802,2,647975,8673.684291867778
Лэтуаль,"[59.912486, 30.319758] и 2024-11-18T03:40:00+03:00",Уход за волосами,Estel,652.0316626649395,5293895116491802,2,647975,8673.684291867778
Глория Джинс,"[59.851259, 30.320476] и 2026-04-06T04:30:00+03:00",Одежда женская,Zarina,2656.366899713901,4154821999240323,2,271866,3919.6418115801107
Глория Джинс,"[59.851259, 30.320476] и 2026-04-06T04:30:00+03:00",Детская одежда,Orby,1263.2749118662095,4154821999240323,2,271866,3919.6418115801107
Sokolov,"[59.927563, 30.360613] и 2025-01-07T12:18:00+03:00",Ювелирные изделия,Яшма Золото,13607.11669114968,4001194630869404,2,105531,26905.179506090506
Sokolov,"[59.927563, 30.360613] и 2025-01-07T12:18:00+03:00",Ювелирные изделия,Бронницкий Ювелир,13298.062814940824,4001194630869404,2,105531,26905.179506090506
М.Видео,"[59.852, 30.263] и 2025-01-30T23:03:00+03:00",ТВ и аудио,Harper,27622.379571980182,5469015666360954,3,631694,96853.64842433465
М.Видео,"[59.852, 30.263] и 2025-01-30T23:03:00+03:00",Ноутбуки,Irbis,45655.979542130604,5469015666360954,3,631694,96853.64842433465
М.Видео,"[59.852, 30.263] и 2025-01-30T23:03:00+03:00",Электроника,LG,23575.289310223856,5469015666360954,3,631694,96853.64842433465
Глория Джинс,"[59.825212, 30.380771] и 2025-12-07T03:54:00+03:00",Одежда мужская,Antony Morato,7042.5604426561495,5128919362694595,2,32282,8849.24315428114
Глория Джинс,"[59.825212, 30.380771] и 2025-12-07T03:54:00+03:00",Одежда женская,InCity,1806.6827116249892,5128919362694595,2,32282,8849.24315428114
Лэтуаль,"[60.046221, 30.363012] и 2026-09-21T09:34:00+03:00",Уход за волосами,Gliss Kur,773.3209315541812,2204121472590516,2,68193,1534.7455303978722
Лэтуаль,"[60.046221, 30.363012] и 2026-09-21T09:34:00+03:00",Косметика,Belor Design,761.424598843691,2204121472590516,2,68193,1534.7455303978722
Zarina,"[59.853505, 30.340401] и 2024-10-22T02:31:00+03:00",Одежда женская,Love Republic,3812.7238128019544,2202215883076511,2,934519,8123.272086640043
Zarina,"[59.853505, 30.340401] и 2024-10-22T02:31:00+03:00",Одежда женская,Befree,4310.548273838089,2202215883076511,2,934519,8123.272086640043
Детский мир,"[59.853505, 30.340401] и 2025-04-15T01:00:00+03:00",Товары для животных,Kitekat,1299.9325368044117,2201305304437185,2,881511,1870.5735063964253
Детский мир,"[59.853505, 30.340401] и 2025-04-15T01:00:00+03:00",Книги и медиа,Просвещение,570.6409695920134,2201305304437185,2,881511,1870.5735063964253
Пятёрочка,"[59.925155, 30.32018] и 2026-01-07T05:59:00+03:00",Напитки безалкогольные,J7,77.98129315028802,2203058843856518,2,837644,274.2235242689819
Пятёрочка,"[59.925155, 30.32018] и 2026-01-07T05:59:00+03:00",Табачные изделия,Camel,196.24223111869387,2203058843856518,2,837644,274.2235242689819
Эльдорадо,"[60.046221, 30.363012] и 2025-05-28T08:14:00+03:00",ТВ и аудио,Xiaomi,41310.33486579312,5293895759484486,2,497759,47923.99095841248
Эльдорадо,"[60.046221, 30.363012] и 2025-05-28T08:14:00+03:00",Кухонная техника,Xiaomi,6613.656092619363,5293895759484486,2,497759,47923.99095841248
Пятёрочка,"[60.007587, 30.259732] и 2026-01-09T01:56:00+03:00",Кофе и чай,Egoiste,456.8344232569632,2200250828047261,4,417454,1212.351240343374
Пятёрочка,"[60.007587, 30.259732] и 2026-01-09T01:56:00+03:00",Пиво,Балтика,141.30026521756434,2200250828047261,4,417454,1212.351240343374
Пятёрочка,"[60.007587, 30.259732] и 2026-01-09T01:56:00+03:00",Кондитерские изделия,Nestle,517.6177584694227,2200250828047261,4,417454,1212.351240343374
Пятёрочка,"[60.007587, 30.259732] и 2026-01-09T01:56:00+03:00",Молочные продукты,Bio Balance,96.5987933994238,2200250828047261,4,417454,1212.351240343374
